epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3957,0.9081,1.92085,3.48414,1.10375,0.69875,0.55297,0.59977,0.48724,0.68839,0.53836,0.57471,0.40628,0.80347,1.6799,1.80075,0.99768,0.000174149,0.000174149,0.000174149
2,108.594,0.88988,1.63732,1.86613,1.06337,0.76709,0.72211,0.78426,0.60901,0.74103,0.70132,0.73735,0.51852,0.78205,1.63248,1.13544,0.96579,0.000314883,0.000314883,0.000314883
3,156.11,0.84561,1.58199,1.41289,1.03465,0.83064,0.76687,0.84006,0.67249,0.84881,0.72408,0.7983,0.56088,0.75897,1.60774,0.98609,0.97066,0.000420902,0.000420902,0.000420902
4,203.875,0.79221,1.48923,1.21229,1.01039,0.92055,0.80794,0.88803,0.73652,0.90369,0.79445,0.85946,0.60953,0.63784,1.44186,0.74889,0.90458,0.000369778,0.000369778,0.000369778
5,251.493,0.74685,1.42313,1.06883,0.99012,0.93719,0.84826,0.90888,0.75589,0.92588,0.82732,0.88604,0.63728,0.62803,1.3705,0.68578,0.89673,0.000317704,0.000317704,0.000317704
6,298.688,0.6991,1.35061,0.96195,0.95964,0.93152,0.87496,0.91471,0.78197,0.91577,0.85744,0.88512,0.64919,0.60498,1.39117,0.64951,0.88811,0.00026563,0.00026563,0.00026563
7,346.276,0.66221,1.29486,0.88618,0.93984,0.94747,0.86944,0.9187,0.77954,0.92484,0.84885,0.88605,0.64343,0.59465,1.32491,0.60323,0.87321,0.000213556,0.000213556,0.000213556
8,393.69,0.6299,1.24463,0.82716,0.93061,0.95295,0.89115,0.93194,0.79835,0.92085,0.86662,0.89883,0.66203,0.55054,1.28346,0.5443,0.8597,0.000161482,0.000161482,0.000161482
9,441.369,0.61115,1.21097,0.77453,0.92035,0.96509,0.87776,0.93578,0.80462,0.94145,0.8568,0.9043,0.66833,0.54614,1.25079,0.53323,0.85813,0.000109408,0.000109408,0.000109408
10,488.648,0.58233,1.16976,0.74028,0.90959,0.96282,0.89311,0.93937,0.81312,0.95022,0.87881,0.91097,0.66836,0.52956,1.22134,0.50328,0.8482,5.7334e-05,5.7334e-05,5.7334e-05
