epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2965,0.88803,2.03087,3.46028,1.06389,0.62432,0.4963,0.5367,0.44353,0.62338,0.49034,0.52642,0.38288,0.80057,1.69516,1.96313,1.02819,0.000174149,0.000174149,0.000174149
2,110.674,0.84649,1.72084,1.79987,1.02961,0.7617,0.7272,0.79217,0.62892,0.75764,0.71171,0.77299,0.54183,0.73804,1.57216,1.06564,0.94839,0.000346022,0.000346022,0.000346022
3,160.108,0.80255,1.62726,1.32104,0.99757,0.8577,0.7684,0.85652,0.67956,0.83193,0.75149,0.81945,0.57962,0.7506,1.54316,0.88909,0.95633,0.000514424,0.000514424,0.000514424
4,210.202,0.77747,1.56636,1.15958,0.98602,0.86176,0.81065,0.87608,0.71073,0.83704,0.80238,0.84999,0.58876,0.70796,1.54333,0.83373,0.93926,0.000510378,0.000510378,0.000510378
5,259.923,0.75548,1.54518,1.07315,0.98533,0.86621,0.84571,0.88468,0.71813,0.84846,0.82554,0.85047,0.602,0.68459,1.53625,0.73371,0.92598,0.00050517,0.00050517,0.00050517
6,309.456,0.73016,1.49223,0.98072,0.97383,0.91134,0.84409,0.90605,0.75547,0.89566,0.83089,0.87872,0.62441,0.63715,1.47456,0.68465,0.91606,0.000499963,0.000499963,0.000499963
7,359.048,0.72548,1.48665,0.93081,0.96947,0.9173,0.85179,0.91806,0.76565,0.93129,0.80724,0.88664,0.643,0.64552,1.39558,0.67462,0.91338,0.000494756,0.000494756,0.000494756
8,408.538,0.7125,1.44287,0.87349,0.95756,0.93579,0.84577,0.9191,0.77105,0.9165,0.83736,0.89217,0.64226,0.62843,1.35656,0.63349,0.89655,0.000489548,0.000489548,0.000489548
9,457.345,0.69759,1.45392,0.84578,0.95878,0.93064,0.87568,0.92533,0.77716,0.91789,0.86222,0.8995,0.65567,0.62223,1.36972,0.60445,0.89292,0.000484341,0.000484341,0.000484341
10,506.572,0.68668,1.39765,0.78514,0.96186,0.92389,0.87789,0.92699,0.77363,0.89671,0.85857,0.89063,0.64011,0.63241,1.36263,0.59084,0.90491,0.000479133,0.000479133,0.000479133
11,555.587,0.6834,1.38594,0.76464,0.95417,0.94226,0.88734,0.93446,0.79023,0.91809,0.87145,0.90613,0.6703,0.58824,1.28081,0.56886,0.88815,0.000473926,0.000473926,0.000473926
12,604.704,0.66292,1.35393,0.72326,0.94657,0.93204,0.85767,0.92192,0.77524,0.92084,0.84859,0.89304,0.65479,0.60294,1.32489,0.59264,0.8857,0.000468719,0.000468719,0.000468719
13,653.571,0.66236,1.35483,0.70745,0.94441,0.96211,0.87176,0.93418,0.79961,0.94146,0.85449,0.9034,0.66433,0.5604,1.32211,0.55063,0.86704,0.000463511,0.000463511,0.000463511
